"class","observed","expected","p-value"
"sports","0.64443295482313","-0.111111111111111","0.000332613191552644"
"tv","0.0156620675487764","-0.00980392156862745","0.352192194550695"
"cricket","0.766929136661055","-0.166666666666667","0.00113365801865672"
"science","-0.57654455029274","-0.333333333333333","0.157299207050285"
"hobbies","-0.208795700415651","-0.125","0.648583482464861"
"interests","-0.208795700415651","-0.125","0.648583482464861"
"games","-0.13545519315082","-0.0666666666666667","0.513594357973888"
"board-games","-0.13545519315082","-0.142857142857143","0.971840172186047"
"puzzles","-0.13545519315082","-0.142857142857143","0.971840172186047"
"c","0.0259563734979189","-0.0013869625520111","2.19491091968393e-12"
"business","-0.25","-0.5","NaN"
"industrial","-0.25","-0.5","NaN"
"energy","-0.25","-0.125","0.425030652784927"
"renewable-energy","-0.25","-0.5","NaN"
"solar-energy","-0.25","-0.5","NaN"
"society","-1","-1","NaN"
"food","-0.175781810596843","-0.0555555555555556","0.190978773899372"
"drink","-0.175781810596843","-0.0555555555555556","0.190978773899372"
"art","-0.120952484090079","-0.02","0.0286593139611201"
"entertainment","-0.0856256523486671","-0.0333333333333333","0.238135500092976"
"books","0","-0.142857142857143","0.344794137210785"
"literature","0","-0.142857142857143","0.344794137210785"
"poetry","0","-0.142857142857143","0.344794137210785"
"shows","0.0133705083251235","-0.0434782608695652","0.285546614225345"
"events","0.0148841037303676","-0.0769230769230769","0.323539756380841"
"beauty-contest","0.10692281036931","-0.111111111111111","0.0509341922412734"
"fan-fiction","0","-0.142857142857143","0.344794137210785"
"music","0.0153010369068602","-0.0555555555555556","0.239011925418194"
"travel","0.125699189104793","-0.0666666666666667","0.0106928122063832"
"magazines","0","-0.142857142857143","0.344794137210785"
"movies","-0.108238414799235","-0.0769230769230769","0.683767012513332"
"bollywood","0","-0.125","0.362937758613028"
"cigars","-0.607925530200635","-0.5","NaN"
"style","0.0752711222155073","-0.05","0.0926534413617475"
"fashion","0.0752711222155073","-0.05","0.0926534413617475"
"jewelry","-0.651644329994514","-0.25","0.245130977721598"
"earrings","-0.651644329994514","-0.25","0.245130977721598"
"television","0","-0.125","0.362937758613028"
"dance","0","-0.125","0.383017179606843"
"hotels","0.0994108862414938","-0.0833333333333333","0.0356098448659199"
"talk-shows","-0.00281775065613822","-0.111111111111111","0.373332734659406"
"fruits","-0.108766985189209","-0.0909090909090909","0.865443113736635"
"vegetables","-0.108766985189209","-0.0909090909090909","0.865443113736635"
"beauty","-0.460248177485015","-0.1","0.00410826178560643"
"cosmetics","-0.720776412535166","-0.5","NaN"
"clothing","0.0395014389848343","-0.1","0.269075927775482"
"skirts","0.0395014389848343","-0.1","0.269075927775482"
"concert","0.0148841037303676","-0.0769230769230769","0.323539756380841"
"singing","-0.0220316878587555","-0.142857142857143","0.353026100937533"
"cuisines","0.0561950021111897","-0.0909090909090909","0.0338710074829172"
"french-cuisine","0.0561950021111897","-0.0909090909090909","0.0338710074829172"
"music-genres","-0.0679314723384347","-0.125","0.631037437372088"
"pop-music","-0.0679314723384347","-0.125","0.631037437372088"
"musical-instruments","-0.0610773953389689","-0.166666666666667","0.47598911200879"
"drums","-0.0610773953389689","-0.166666666666667","0.47598911200879"
"radio","0","-0.2","0.350409968407801"
"l","0.0259563734979189","-0.0013869625520111","2.19491091968393e-12"
"westerns","-0.0943242191982681","-0.0833333333333333","0.892545345792109"
"face","-0.460248177485015","-0.1","0.00410826178560643"
"body-care","-0.460248177485015","-0.1","0.00410826178560643"
"hygiene","-0.460248177485015","-0.1","0.00410826178560643"
"toiletries","-0.460248177485015","-0.1","0.00410826178560643"
