"class","observed","expected","p-value"
"school","-0.75","-0.5","NaN"
"sports","-0.0243342876833208","-0.0476190476190476","0.558739724503879"
"technology","0.0795954241375267","-0.032258064516129","0.250328572675874"
"computing","0.077003163938224","-0.0344827586206897","0.291341179715372"
"tv","-0.00123384635086075","-0.00387596899224806","0.883093594369695"
"cricket","-0.160354072516719","-0.125","0.664498817918224"
"science","0.00296579439939603","-0.04","0.4386907938408"
"hobbies","0.26298888189869","-0.166666666666667","0.0220183085833201"
"interests","0.26298888189869","-0.166666666666667","0.0220183085833201"
"games","0.226780907520289","-0.111111111111111","0.0328134544641538"
"board-games","0.226780907520289","-0.25","0.133670886162137"
"puzzles","0.226780907520289","-0.25","0.133670886162137"
"health","0.149892333183919","-0.125","0.196837677189063"
"fitness","0.149892333183919","-0.125","0.196837677189063"
"disease","0.058689040392263","-0.166666666666667","0.351962152189375"
"infertility","0.058689040392263","-0.166666666666667","0.351962152189375"
"c","-0.00143718314142195","-0.000531914893617021","0.734180603210932"
"business","-0.124180509408","-0.333333333333333","0.175254166077883"
"industrial","-0.124180509408","-0.333333333333333","0.175254166077883"
"energy","-0.124180509408","-0.0909090909090909","0.666411803671548"
"renewable-energy","-0.124180509408","-0.333333333333333","0.175254166077883"
"solar-energy","-0.124180509408","-0.333333333333333","0.175254166077883"
"society","-0.0677419099915976","-0.0384615384615385","0.670453089482063"
"sex","-0.235393760665269","-0.166666666666667","0.610499460258717"
"hardware","-1","-1","NaN"
"social-institution","-0.0178495849977967","-0.1","0.227765772924783"
"divorce","-0.0511843433917","-0.25","0.371496839384872"
"computer","-1","-1","NaN"
"food","0.0483046056658497","-0.0140845070422535","0.301931018108446"
"drink","0.0483046056658497","-0.0140845070422535","0.301931018108446"
"art","0.0247724004068349","-0.00961538461538462","0.360652688871561"
"entertainment","0.0263874853708654","-0.0120481927710843","0.406271994622185"
"books","0","-0.0769230769230769","0.297679719895394"
"literature","0","-0.0769230769230769","0.297679719895394"
"poetry","0","-0.0769230769230769","0.297679719895394"
"shows","0.0732098572815415","-0.0142857142857143","0.0478684365374225"
"events","0.0290155575799129","-0.0217391304347826","0.451176047901003"
"beauty-contest","0.0792808668678771","-0.0232558139534884","0.100375988549227"
"fan-fiction","0","-0.0769230769230769","0.297679719895394"
"social-science","-0.128468808545826","-0.166666666666667","0.702666563098709"
"history","-0.2069521228785","-0.0909090909090909","0.125023577383197"
"music","0.268497983357078","-0.015625","2.36426433986026e-10"
"travel","-0.0246144602265377","-0.0263157894736842","0.952054878591367"
"transports","-0.0701203175778068","-0.0833333333333333","0.817571374245527"
"air-travel","-0.0701203175778068","-0.0833333333333333","0.817571374245527"
"airlines","-0.0701203175778068","-0.0833333333333333","0.817571374245527"
"magazines","0","-0.0769230769230769","0.297679719895394"
"reading","-0.441535615818984","-0.5","NaN"
"movies","0.167641278515954","-0.0357142857142857","0.00457064691223619"
"bollywood","0.210924453885817","-0.037037037037037","0.0010119410246614"
"operating-systems","-0.0590083007384878","-0.0769230769230769","0.646361916559652"
"windows","-0.0590083007384878","-0.0769230769230769","0.646361916559652"
"senior-living","-0.315190634111567","-0.333333333333333","0.600820658334901"
"aging","-0.0123398932778044","-0.25","0.475550306917071"
"marriage","-0.0769851393991247","-0.125","0.549674069497003"
"style","0.176464943840128","-0.0769230769230769","0.103317780372352"
"fashion","0.176464943840128","-0.0769230769230769","0.103317780372352"
"home","-0.231065758897693","-0.1","0.0449377309207364"
"garden","-0.465548000914264","-0.333333333333333","0.212575580232994"
"appliances","-0.465548000914264","-0.333333333333333","0.212575580232994"
"television","0.331289047061492","-0.0434782608695652","9.00257803744253e-05"
"dance","0","-0.0625","0.299123774172197"
"hotels","-0.02533423150142","-0.0588235294117647","0.613630711619562"
"crime","-0.531550852215047","-0.111111111111111","0.00526933191141416"
"dating","-0.452237575980618","-0.25","0.334430199286573"
"talk-shows","0.331289047061492","-0.0434782608695652","9.00257803744253e-05"
"fruits","0.0331333775284714","-0.0227272727272727","0.44175165555225"
"vegetables","0.0331333775284714","-0.0227272727272727","0.44175165555225"
"beauty","0.0227381218459394","-0.1","0.368350862991348"
"clothing","-0.132306679474095","-0.333333333333333","0.386748464138117"
"skirts","-0.132306679474095","-0.333333333333333","0.386748464138117"
"disorders","0.143920710646035","-0.166666666666667","0.250022141138635"
"mental-disorder","0.143920710646035","-0.166666666666667","0.250022141138635"
"panic","0.143920710646035","-0.166666666666667","0.250022141138635"
"anxiety","0.143920710646035","-0.166666666666667","0.250022141138635"
"unrest","-0.0857219174336803","-0.111111111111111","0.895938953222878"
"war","0.0610112504785482","-0.0909090909090909","0.314202058731658"
"concert","0.0290155575799129","-0.0217391304347826","0.451176047901003"
"education","-1","-1","NaN"
"addiction","-0.0123398932778044","-0.111111111111111","0.538311612649674"
"smoking-addiction","-0.0123398932778044","-0.25","0.475550306917071"
"modern-history","-0.2069521228785","-0.2","0.780826956585444"
"singing","0.266044340555835","-0.03125","0.00068689908232189"
"cuisines","0.13331767307482","-0.02","0.0594423960831674"
"french-cuisine","0.13331767307482","-0.02","0.0594423960831674"
"music-genres","0.268398413312342","-0.032258064516129","0.00125834192679597"
"pop-music","0.268398413312342","-0.032258064516129","0.00125834192679597"
"tourist-destinations","-0.0739496967101813","-0.125","0.542186889330961"
"greece","-0.0739496967101813","-0.125","0.542186889330961"
"musical-instruments","0.268398413312342","-0.032258064516129","0.00125834192679597"
"drums","0.268398413312342","-0.032258064516129","0.00125834192679597"
"radio","0","-0.0769230769230769","0.297679719895394"
"l","-0.00143718314142195","-0.000531914893617021","0.734180603210932"
"westerns","0.254407144134213","-0.0416666666666667","0.000943866643519531"
"face","0.0227381218459394","-0.1","0.368350862991348"
"body-care","0.0227381218459394","-0.1","0.368350862991348"
"hygiene","0.0227381218459394","-0.1","0.368350862991348"
"toiletries","0.0227381218459394","-0.1","0.368350862991348"
"property-crime","-0.531550852215047","-0.25","0.389632531435559"
"fraud","-0.531550852215047","-0.25","0.389632531435559"
