"class","observed","expected","p-value"
"sports","-0.10929971136833","-0.111111111111111","0.986080449220933"
"technology","-0.28688361855704","-0.2","0.379780766277232"
"computing","-0.28688361855704","-0.2","0.379780766277232"
"tv","0.0395637664980718","-0.00917431192660551","0.116782684268246"
"cricket","-0.0689380958044883","-0.142857142857143","0.0315809183840134"
"programming-languages","-1","-1","NaN"
"c","0.0415111394544678","-0.00129366106080207","0"
"society","-0.56306332351189","-0.333333333333333","0.239838481521112"
"sex","-1","-1","NaN"
"food","-0.0316656432226349","-0.0333333333333333","0.982833211330403"
"drink","-0.0316656432226349","-0.0333333333333333","0.982833211330403"
"art","0.0324745835501526","-0.0175438596491228","0.263884194244961"
"entertainment","-0.0136425556059823","-0.024390243902439","0.863548947494094"
"books","0","-0.333333333333333","0.0804062593779094"
"literature","0","-0.333333333333333","0.0804062593779094"
"poetry","0","-0.333333333333333","0.0804062593779094"
"shows","-0.139830448524855","-0.0666666666666667","0.312157071773255"
"events","-0.0741605543884285","-0.1","0.782571472661889"
"beauty-contest","-0.235229579915689","-0.111111111111111","0.28028807377766"
"fan-fiction","0","-0.333333333333333","0.0804062593779094"
"music","-0.0536238336536118","-0.0263157894736842","0.683985874115822"
"travel","-0.20828294220808","-0.0714285714285714","0.278878358659691"
"magazines","0","-0.333333333333333","0.0804062593779094"
"movies","-0.136322104202354","-0.166666666666667","0.877260163036805"
"bollywood","-0.532207039931303","-0.25","0.247644818217657"
"style","0.00253299738692516","-0.0909090909090909","0.343425674660732"
"fashion","0.00253299738692516","-0.0909090909090909","0.343425674660732"
"jewelry","-0.119997758068345","-0.166666666666667","0.547356783094979"
"earrings","-0.119997758068345","-0.166666666666667","0.547356783094979"
"home","-0.24715486301618","-0.25","0.995834090272587"
"television","-0.392829819145944","-0.2","0.195959289114419"
"dance","0","-0.333333333333333","0.122279174740985"
"hotels","-0.134248736444529","-0.0833333333333333","0.670550873354353"
"crime","-0.705119445613904","-0.2","0.00263163166894199"
"personal-offense","-1","-1","NaN"
"homicide","-1","-1","NaN"
"talk-shows","-0.532207039931303","-0.25","0.247644818217657"
"fruits","0.0450496308972219","-0.0357142857142857","0.342636077227903"
"vegetables","0.0450496308972219","-0.0357142857142857","0.342636077227903"
"beauty","-0.119997758068345","-0.166666666666667","0.547356783094979"
"cosmetics","-0.119997758068345","-0.166666666666667","0.547356783094979"
"clothing","0.00253299738692516","-0.0909090909090909","0.343425674660732"
"skirts","0.00253299738692516","-0.0909090909090909","0.343425674660732"
"concert","-0.0741605543884285","-0.1","0.782571472661889"
"singing","-0.129709691491623","-0.0625","0.516189211290882"
"cuisines","-0.0437952492091036","-0.05","0.951336231401763"
"french-cuisine","-0.0437952492091036","-0.05","0.951336231401763"
"music-genres","-0.0899270247406172","-0.0714285714285714","0.85957354718729"
"pop-music","-0.0899270247406172","-0.0714285714285714","0.85957354718729"
"musical-instruments","-0.135553963748088","-0.0526315789473684","0.547277336938466"
"drums","-0.135553963748088","-0.0526315789473684","0.547277336938466"
"l","0.0415111394544678","-0.00129366106080207","0"
"westerns","-0.136322104202354","-0.166666666666667","0.877260163036805"
"face","-0.119997758068345","-0.166666666666667","0.547356783094979"
"body-care","-0.119997758068345","-0.166666666666667","0.547356783094979"
"hygiene","-0.119997758068345","-0.166666666666667","0.547356783094979"
"toiletries","-0.119997758068345","-0.166666666666667","0.547356783094979"
"property-crime","-0.705119445613904","-0.5","NaN"
"fraud","-0.705119445613904","-0.5","NaN"
